Entity,Code,Year,Cantril ladder score,Population (historical),World regions according to OWID,Life expectancy (years)
Bangladesh,BGD,2022,4.282,169384838,Asia,74.265
Bangladesh,BGD,2023,3.886,171466945,Asia,74.672
Belarus,BLR,2011,5.566,9472681,Europe,71.068
Belarus,BLR,2012,5.504,9463025,Europe,71.8
Belarus,BLR,2014,5.813,9472660,Europe,73.245
Belarus,BLR,2015,5.802,9487235,Europe,73.761
Belarus,BLR,2016,5.569,9499018,Europe,74.153
Belarus,BLR,2017,5.483,9495737,Europe,74.362
Belarus,BLR,2018,5.323,9479978,Europe,74.334
Belarus,BLR,2019,5.5399,9435364,Europe,74.255
Belarus,BLR,2020,5.534,9350896,Europe,72.269
Belarus,BLR,2021,5.821,9251315,Europe,72.221
Belgium,BEL,2011,7.113,11038580,Europe,80.366
Belgium,BEL,2012,6.967,11107477,Europe,80.26
Belgium,BEL,2014,6.937,11210070,Europe,81.08
Belgium,BEL,2015,6.929,11275281,Europe,80.889
Belgium,BEL,2016,6.891,11332652,Europe,81.265
Belgium,BEL,2017,6.927,11376542,Europe,81.362
Belgium,BEL,2018,6.923,11428564,Europe,81.481
Belgium,BEL,2019,6.8635,11490570,Europe,81.835
Belgium,BEL,2020,6.834,11540055,Europe,80.798
Belgium,BEL,2021,6.805,11570794,Europe,81.659
Belgium,BEL,2022,6.859,11641759,Europe,81.159
Belgium,BEL,2023,6.894,11712836,Europe,82.115
Bhutan,BTN,2014,5.253,733102,Asia,70.504
Bhutan,BTN,2015,5.196,740573,Asia,70.797
Bhutan,BTN,2016,5.011,747831,Asia,71.119
Bhutan,BTN,2017,5.082,754292,Asia,71.413
